CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2018,CA-518,Solano County CoC,Invalid,*
2018,CA-518,Solano County CoC,Under 18,223
2018,CA-519,Butte County CoC,18-24,118
2018,CA-519,Butte County CoC,25-34,263
2018,CA-519,Butte County CoC,35-44,246
2018,CA-519,Butte County CoC,45-54,233
2018,CA-519,Butte County CoC,55-64,208
2018,CA-519,Butte County CoC,65+,90
2018,CA-519,Butte County CoC,Under 18,330
2018,CA-520,Merced County CoC,18-24,67
2018,CA-520,Merced County CoC,25-34,157
2018,CA-520,Merced County CoC,35-44,182
2018,CA-520,Merced County CoC,45-54,200
2018,CA-520,Merced County CoC,55-64,221
2018,CA-520,Merced County CoC,65+,59
2018,CA-520,Merced County CoC,Under 18,21
2018,CA-521,Yolo County CoC,18-24,89
2018,CA-521,Yolo County CoC,25-34,162
2018,CA-521,Yolo County CoC,35-44,167
2018,CA-521,Yolo County CoC,45-54,120
2018,CA-521,Yolo County CoC,55-64,103
2018,CA-521,Yolo County CoC,65+,23
2018,CA-521,Yolo County CoC,Under 18,315
2018,CA-522,Humboldt County CoC,18-24,158
2018,CA-522,Humboldt County CoC,25-34,170
2018,CA-522,Humboldt County CoC,35-44,149
2018,CA-522,Humboldt County CoC,45-54,130
2018,CA-522,Humboldt County CoC,55-64,121
2018,CA-522,Humboldt County CoC,65+,43
2018,CA-522,Humboldt County CoC,Invalid,*
2018,CA-522,Humboldt County CoC,Under 18,299
2018,CA-522,Humboldt County CoC,Unknown,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,36
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,62
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,34
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,13
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Invalid,*
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,195
2018,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2018,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2018,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2018,CA-524,"Yuba, Sutter Counties CoC",65+,*
2018,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2018,CA-525,El Dorado County CoC,18-24,11
2018,CA-525,El Dorado County CoC,25-34,30
2018,CA-525,El Dorado County CoC,35-44,39
2018,CA-525,El Dorado County CoC,45-54,39
2018,CA-525,El Dorado County CoC,55-64,38
2018,CA-525,El Dorado County CoC,65+,18
2018,CA-525,El Dorado County CoC,Invalid,*
2018,CA-525,El Dorado County CoC,Under 18,228
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,51
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,116
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,88
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,78
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,73
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,29
2018,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,266
2018,CA-527,Tehama County CoC,18-24,37
2018,CA-527,Tehama County CoC,25-34,70
2018,CA-527,Tehama County CoC,35-44,78
2018,CA-527,Tehama County CoC,45-54,61
2018,CA-527,Tehama County CoC,55-64,69
2018,CA-527,Tehama County CoC,65+,17
2018,CA-527,Tehama County CoC,Under 18,79
2018,CA-527,Tehama County CoC,Unknown,*
2018,CA-529,Lake County CoC,18-24,*
2018,CA-529,Lake County CoC,25-34,*
2018,CA-529,Lake County CoC,35-44,*
2018,CA-529,Lake County CoC,45-54,*
2018,CA-529,Lake County CoC,55-64,*
2018,CA-529,Lake County CoC,65+,*
2018,CA-529,Lake County CoC,Under 18,29
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,20
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,41
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,33
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,19
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,11
2018,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,67
2018,CA-531,Nevada County CoC,18-24,59
2018,CA-531,Nevada County CoC,25-34,79
2018,CA-531,Nevada County CoC,35-44,113
2018,CA-531,Nevada County CoC,45-54,101
2018,CA-531,Nevada County CoC,55-64,105
2018,CA-531,Nevada County CoC,65+,41
2018,CA-531,Nevada County CoC,Under 18,53
2018,CA-600,Los Angeles County CoC,18-24,7666
2018,CA-600,Los Angeles County CoC,25-34,12129
2018,CA-600,Los Angeles County CoC,35-44,10723
2018,CA-600,Los Angeles County CoC,45-54,11390
2018,CA-600,Los Angeles County CoC,55-64,10176
2018,CA-600,Los Angeles County CoC,65+,3356
2018,CA-600,Los Angeles County CoC,Invalid,47
2018,CA-600,Los Angeles County CoC,Under 18,15375
2018,CA-600,Los Angeles County CoC,Unknown,4177
2018,CA-601,San Diego County CoC,18-24,971
2018,CA-601,San Diego County CoC,25-34,2281
2018,CA-601,San Diego County CoC,35-44,2248
2018,CA-601,San Diego County CoC,45-54,2621
2018,CA-601,San Diego County CoC,55-64,2783
2018,CA-601,San Diego County CoC,65+,839
2018,CA-601,San Diego County CoC,Invalid,*
2018,CA-601,San Diego County CoC,Under 18,3335
2018,CA-601,San Diego County CoC,Unknown,138
2018,CA-602,Orange County CoC,18-24,614
2018,CA-602,Orange County CoC,25-34,1558
2018,CA-602,Orange County CoC,35-44,1457
2018,CA-602,Orange County CoC,45-54,1605
2018,CA-602,Orange County CoC,55-64,1292
2018,CA-602,Orange County CoC,65+,781
2018,CA-602,Orange County CoC,Invalid,*
2018,CA-602,Orange County CoC,Under 18,2971
2018,CA-602,Orange County CoC,Unknown,1796
2018,CA-603,Santa Barbara County CoC,18-24,179
2018,CA-603,Santa Barbara County CoC,25-34,452
2018,CA-603,Santa Barbara County CoC,35-44,411
2018,CA-603,Santa Barbara County CoC,45-54,412
2018,CA-603,Santa Barbara County CoC,55-64,473
2018,CA-603,Santa Barbara County CoC,65+,204
2018,CA-603,Santa Barbara County CoC,Invalid,*
2018,CA-603,Santa Barbara County CoC,Under 18,530
2018,CA-603,Santa Barbara County CoC,Unknown,*
2018,CA-604,Kern County CoC,18-24,351
2018,CA-604,Kern County CoC,25-34,708
2018,CA-604,Kern County CoC,35-44,554
2018,CA-604,Kern County CoC,45-54,517
2018,CA-604,Kern County CoC,55-64,439
2018,CA-604,Kern County CoC,65+,120
2018,CA-604,Kern County CoC,Invalid,*
2018,CA-604,Kern County CoC,Under 18,1699
2018,CA-606,Long Beach CoC (Los Angeles County),18-24,168
2018,CA-606,Long Beach CoC (Los Angeles County),25-34,377
2018,CA-606,Long Beach CoC (Los Angeles County),35-44,331
2018,CA-606,Long Beach CoC (Los Angeles County),45-54,467
2018,CA-606,Long Beach CoC (Los Angeles County),55-64,537
2018,CA-606,Long Beach CoC (Los Angeles County),65+,202
2018,CA-606,Long Beach CoC (Los Angeles County),Under 18,677
2018,CA-607,Pasadena CoC (Los Angeles County),18-24,111
2018,CA-607,Pasadena CoC (Los Angeles County),25-34,226
2018,CA-607,Pasadena CoC (Los Angeles County),35-44,212
2018,CA-607,Pasadena CoC (Los Angeles County),45-54,278
2018,CA-607,Pasadena CoC (Los Angeles County),55-64,262
2018,CA-607,Pasadena CoC (Los Angeles County),65+,143
2018,CA-607,Pasadena CoC (Los Angeles County),Under 18,372
2018,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
2018,CA-608,Riverside County CoC,18-24,683
2018,CA-608,Riverside County CoC,25-34,1227
2018,CA-608,Riverside County CoC,35-44,1102
2018,CA-608,Riverside County CoC,45-54,1140
2018,CA-608,Riverside County CoC,55-64,1005
2018,CA-608,Riverside County CoC,65+,300
2018,CA-608,Riverside County CoC,Under 18,1655
2018,CA-608,Riverside County CoC,Unknown,48
2018,CA-609,San Bernardino County CoC,18-24,555
2018,CA-609,San Bernardino County CoC,25-34,1021
2018,CA-609,San Bernardino County CoC,35-44,896
2018,CA-609,San Bernardino County CoC,45-54,665
2018,CA-609,San Bernardino County CoC,55-64,551
2018,CA-609,San Bernardino County CoC,65+,163
2018,CA-609,San Bernardino County CoC,Under 18,3554
2018,CA-609,San Bernardino County CoC,Unknown,*
2018,CA-611,Ventura County CoC,18-24,114
2018,CA-611,Ventura County CoC,25-34,225
2018,CA-611,Ventura County CoC,35-44,284
2018,CA-611,Ventura County CoC,45-54,280
2018,CA-611,Ventura County CoC,55-64,275
2018,CA-611,Ventura County CoC,65+,102
2018,CA-611,Ventura County CoC,Invalid,*
2018,CA-611,Ventura County CoC,Under 18,451
2018,CA-611,Ventura County CoC,Unknown,*
2018,CA-612,Glendale CoC (Los Angeles County),18-24,31
2018,CA-612,Glendale CoC (Los Angeles County),25-34,81
2018,CA-612,Glendale CoC (Los Angeles County),35-44,63
2018,CA-612,Glendale CoC (Los Angeles County),45-54,92
2018,CA-612,Glendale CoC (Los Angeles County),55-64,66
2018,CA-612,Glendale CoC (Los Angeles County),65+,26
2018,CA-612,Glendale CoC (Los Angeles County),Under 18,148
2018,CA-612,Glendale CoC (Los Angeles County),Unknown,*
2018,CA-613,Imperial County CoC,18-24,80
2018,CA-613,Imperial County CoC,25-34,142
2018,CA-613,Imperial County CoC,35-44,108
2018,CA-613,Imperial County CoC,45-54,99
2018,CA-613,Imperial County CoC,55-64,72
2018,CA-613,Imperial County CoC,65+,46
2018,CA-613,Imperial County CoC,Invalid,*
2018,CA-613,Imperial County CoC,Under 18,313
2018,CA-614,San Luis Obispo County CoC,18-24,143
2018,CA-614,San Luis Obispo County CoC,25-34,316
2018,CA-614,San Luis Obispo County CoC,35-44,247
2018,CA-614,San Luis Obispo County CoC,45-54,245
2018,CA-614,San Luis Obispo County CoC,55-64,221
2018,CA-614,San Luis Obispo County CoC,65+,101
2018,CA-614,San Luis Obispo County CoC,Invalid,*
2018,CA-614,San Luis Obispo County CoC,Under 18,566
2019,All,California,18-24,20044
2019,All,California,25-34,38095
2019,All,California,35-44,35259
2019,All,California,45-54,33794
2019,All,California,55-64,32177
2019,All,California,65+,11799
2019,All,California,Invalid,101
2019,All,California,Under 18,59421
2019,All,California,Unknown,6976
2019,CA-500,Santa Clara County CoC,18-24,787
2019,CA-500,Santa Clara County CoC,25-34,1688
2019,CA-500,Santa Clara County CoC,35-44,1685
2019,CA-500,Santa Clara County CoC,45-54,1628
2019,CA-500,Santa Clara County CoC,55-64,1653
2019,CA-500,Santa Clara County CoC,65+,614
2019,CA-500,Santa Clara County CoC,Under 18,2574
2019,CA-500,Santa Clara County CoC,Unknown,*
2019,CA-501,San Francisco CoC,18-24,966
2019,CA-501,San Francisco CoC,25-34,1226
2019,CA-501,San Francisco CoC,35-44,1122
2019,CA-501,San Francisco CoC,45-54,981
2019,CA-501,San Francisco CoC,55-64,855
2019,CA-501,San Francisco CoC,65+,342
2019,CA-501,San Francisco CoC,Invalid,*
2019,CA-501,San Francisco CoC,Under 18,2520
2019,CA-501,San Francisco CoC,Unknown,36
2019,CA-502,Alameda County CoC,18-24,814
2019,CA-502,Alameda County CoC,25-34,1163
2019,CA-502,Alameda County CoC,35-44,1054
2019,CA-502,Alameda County CoC,45-54,1108
2019,CA-502,Alameda County CoC,55-64,1209
2019,CA-502,Alameda County CoC,65+,486
2019,CA-502,Alameda County CoC,Under 18,1658
2019,CA-502,Alameda County CoC,Unknown,*
2019,CA-503,Sacramento County CoC,18-24,1159
2019,CA-503,Sacramento County CoC,25-34,1533
2019,CA-503,Sacramento County CoC,35-44,1518
2019,CA-503,Sacramento County CoC,45-54,1590
2019,CA-503,Sacramento County CoC,55-64,1369
2019,CA-503,Sacramento County CoC,65+,421
2019,CA-503,Sacramento County CoC,Invalid,*
2019,CA-503,Sacramento County CoC,Under 18,3945
2019,CA-503,Sacramento County CoC,Unknown,*
2019,CA-504,Sonoma County CoC,18-24,256
2019,CA-504,Sonoma County CoC,25-34,463
2019,CA-504,Sonoma County CoC,35-44,517
2019,CA-504,Sonoma County CoC,45-54,535
2019,CA-504,Sonoma County CoC,55-64,533
2019,CA-504,Sonoma County CoC,65+,235
2019,CA-504,Sonoma County CoC,Invalid,*
2019,CA-504,Sonoma County CoC,Under 18,728
2019,CA-505,Contra Costa County CoC,18-24,492
2019,CA-505,Contra Costa County CoC,25-34,1291
2019,CA-505,Contra Costa County CoC,35-44,1196
2019,CA-505,Contra Costa County CoC,45-54,1125
2019,CA-505,Contra Costa County CoC,55-64,1125
2019,CA-505,Contra Costa County CoC,65+,416
2019,CA-505,Contra Costa County CoC,Invalid,*
2019,CA-505,Contra Costa County CoC,Under 18,1259
2019,CA-505,Contra Costa County CoC,Unknown,*
2019,CA-506,"Monterey, San Benito Counties CoC",18-24,162
2019,CA-506,"Monterey, San Benito Counties CoC",25-34,362
2019,CA-506,"Monterey, San Benito Counties CoC",35-44,317
2019,CA-506,"Monterey, San Benito Counties CoC",45-54,284
2019,CA-506,"Monterey, San Benito Counties CoC",55-64,326
2019,CA-506,"Monterey, San Benito Counties CoC",65+,131
2019,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2019,CA-506,"Monterey, San Benito Counties CoC",Under 18,858
2019,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2019,CA-507,Marin County CoC,18-24,77
2019,CA-507,Marin County CoC,25-34,199
2019,CA-507,Marin County CoC,35-44,186
2019,CA-507,Marin County CoC,45-54,189
2019,CA-507,Marin County CoC,55-64,190
2019,CA-507,Marin County CoC,65+,110
2019,CA-507,Marin County CoC,Under 18,326
2019,CA-507,Marin County CoC,Unknown,*
2019,CA-508,Santa Cruz County CoC,18-24,123
2019,CA-508,Santa Cruz County CoC,25-34,361
2019,CA-508,Santa Cruz County CoC,35-44,371
2019,CA-508,Santa Cruz County CoC,45-54,354
2019,CA-508,Santa Cruz County CoC,55-64,330
2019,CA-508,Santa Cruz County CoC,65+,171
2019,CA-508,Santa Cruz County CoC,Under 18,509
2019,CA-508,Santa Cruz County CoC,Unknown,45
2019,CA-509,Mendocino County CoC,18-24,56
2019,CA-509,Mendocino County CoC,25-34,136
2019,CA-509,Mendocino County CoC,35-44,136
2019,CA-509,Mendocino County CoC,45-54,122
2019,CA-509,Mendocino County CoC,55-64,119
2019,CA-509,Mendocino County CoC,65+,37
2019,CA-509,Mendocino County CoC,Under 18,120
2019,CA-509,Mendocino County CoC,Unknown,12
2019,CA-510,Stanislaus County CoC,18-24,551
2019,CA-510,Stanislaus County CoC,25-34,1006
2019,CA-510,Stanislaus County CoC,35-44,1009
2019,CA-510,Stanislaus County CoC,45-54,781
2019,CA-510,Stanislaus County CoC,55-64,663
2019,CA-510,Stanislaus County CoC,65+,204
2019,CA-510,Stanislaus County CoC,Under 18,2026
2019,CA-511,San Joaquin County CoC,18-24,778
2019,CA-511,San Joaquin County CoC,25-34,1591
2019,CA-511,San Joaquin County CoC,35-44,1273
2019,CA-511,San Joaquin County CoC,45-54,922
2019,CA-511,San Joaquin County CoC,55-64,678
2019,CA-511,San Joaquin County CoC,65+,253
2019,CA-511,San Joaquin County CoC,Under 18,4026
2019,CA-511,San Joaquin County CoC,Unknown,11
2019,CA-512,San Mateo County CoC,18-24,276
2019,CA-512,San Mateo County CoC,25-34,673
2019,CA-512,San Mateo County CoC,35-44,600
2019,CA-512,San Mateo County CoC,45-54,660
2019,CA-512,San Mateo County CoC,55-64,716
2019,CA-512,San Mateo County CoC,65+,308
2019,CA-512,San Mateo County CoC,Invalid,*
2019,CA-512,San Mateo County CoC,Under 18,1165
2019,CA-512,San Mateo County CoC,Unknown,*
2019,CA-513,"Kings, Tulare Counties CoC",18-24,325
2019,CA-513,"Kings, Tulare Counties CoC",25-34,639
2019,CA-513,"Kings, Tulare Counties CoC",35-44,614
2019,CA-513,"Kings, Tulare Counties CoC",45-54,428
2019,CA-513,"Kings, Tulare Counties CoC",55-64,282
2019,CA-513,"Kings, Tulare Counties CoC",65+,87
2019,CA-513,"Kings, Tulare Counties CoC",Under 18,1071
2019,CA-514,"Fresno, Madera Counties CoC",18-24,248
2019,CA-514,"Fresno, Madera Counties CoC",25-34,357
2019,CA-514,"Fresno, Madera Counties CoC",35-44,419
2019,CA-514,"Fresno, Madera Counties CoC",45-54,429
2019,CA-514,"Fresno, Madera Counties CoC",55-64,449
2019,CA-514,"Fresno, Madera Counties CoC",65+,140
2019,CA-514,"Fresno, Madera Counties CoC",Invalid,*
2019,CA-514,"Fresno, Madera Counties CoC",Under 18,732
2019,CA-514,"Fresno, Madera Counties CoC",Unknown,23
2019,CA-515,Placer County CoC,18-24,94
2019,CA-515,Placer County CoC,25-34,300
2019,CA-515,Placer County CoC,35-44,276
2019,CA-515,Placer County CoC,45-54,286
2019,CA-515,Placer County CoC,55-64,239
2019,CA-515,Placer County CoC,65+,88
2019,CA-515,Placer County CoC,Under 18,397
2019,CA-515,Placer County CoC,Unknown,*
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,48
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,141
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,111
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,95
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,114
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,45
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,139
2019,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Unknown,161
2019,CA-517,Napa County CoC,18-24,57
2019,CA-517,Napa County CoC,25-34,172
2019,CA-517,Napa County CoC,35-44,157
2019,CA-517,Napa County CoC,45-54,169
2019,CA-517,Napa County CoC,55-64,172
2019,CA-517,Napa County CoC,65+,58
2019,CA-517,Napa County CoC,Invalid,*
2019,CA-517,Napa County CoC,Under 18,145
2019,CA-517,Napa County CoC,Unknown,*
2019,CA-518,Solano County CoC,18-24,61
2019,CA-518,Solano County CoC,25-34,171
2019,CA-518,Solano County CoC,35-44,178
2019,CA-518,Solano County CoC,45-54,169
2019,CA-518,Solano County CoC,55-64,198
2019,CA-518,Solano County CoC,65+,80
2019,CA-518,Solano County CoC,Invalid,*
2019,CA-518,Solano County CoC,Under 18,254
2019,CA-518,Solano County CoC,Unknown,*
2019,CA-519,Butte County CoC,18-24,125
2019,CA-519,Butte County CoC,25-34,294
2019,CA-519,Butte County CoC,35-44,284
2019,CA-519,Butte County CoC,45-54,286
2019,CA-519,Butte County CoC,55-64,295
2019,CA-519,Butte County CoC,65+,145
2019,CA-519,Butte County CoC,Under 18,319
2019,CA-520,Merced County CoC,18-24,278
2019,CA-520,Merced County CoC,25-34,512
2019,CA-520,Merced County CoC,35-44,454
2019,CA-520,Merced County CoC,45-54,303
2019,CA-520,Merced County CoC,55-64,266
2019,CA-520,Merced County CoC,65+,73
2019,CA-520,Merced County CoC,Invalid,*
2019,CA-520,Merced County CoC,Under 18,1196
2019,CA-521,Yolo County CoC,18-24,97
2019,CA-521,Yolo County CoC,25-34,193
2019,CA-521,Yolo County CoC,35-44,202
2019,CA-521,Yolo County CoC,45-54,115
2019,CA-521,Yolo County CoC,55-64,124
2019,CA-521,Yolo County CoC,65+,47
2019,CA-521,Yolo County CoC,Under 18,434
2019,CA-521,Yolo County CoC,Unknown,*
2019,CA-522,Humboldt County CoC,18-24,205
2019,CA-522,Humboldt County CoC,25-34,231
2019,CA-522,Humboldt County CoC,35-44,260
2019,CA-522,Humboldt County CoC,45-54,251
2019,CA-522,Humboldt County CoC,55-64,222
2019,CA-522,Humboldt County CoC,65+,85
2019,CA-522,Humboldt County CoC,Invalid,*
2019,CA-522,Humboldt County CoC,Under 18,324
2019,CA-522,Humboldt County CoC,Unknown,34
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,41
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,65
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,34
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,18
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,16
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",65+,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Invalid,*
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,197
2019,CA-523,"Colusa, Glenn, Trinity Counties CoC",Unknown,*
2019,CA-524,"Yuba, Sutter Counties CoC",18-24,*
2019,CA-524,"Yuba, Sutter Counties CoC",25-34,*
2019,CA-524,"Yuba, Sutter Counties CoC",35-44,*
2019,CA-524,"Yuba, Sutter Counties CoC",45-54,*
2019,CA-524,"Yuba, Sutter Counties CoC",55-64,*
2019,CA-524,"Yuba, Sutter Counties CoC",65+,*
2019,CA-524,"Yuba, Sutter Counties CoC",Under 18,*
2019,CA-525,El Dorado County CoC,18-24,16
2019,CA-525,El Dorado County CoC,25-34,41
2019,CA-525,El Dorado County CoC,35-44,36
2019,CA-525,El Dorado County CoC,45-54,40
2019,CA-525,El Dorado County CoC,55-64,42
2019,CA-525,El Dorado County CoC,65+,21
2019,CA-525,El Dorado County CoC,Invalid,*
2019,CA-525,El Dorado County CoC,Under 18,167
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,50
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,93
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,106
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,90
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,76
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,34
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Invalid,*
2019,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,219
2019,CA-527,Tehama County CoC,18-24,22
2019,CA-527,Tehama County CoC,25-34,60
2019,CA-527,Tehama County CoC,35-44,69
2019,CA-527,Tehama County CoC,45-54,71
2019,CA-527,Tehama County CoC,55-64,69
2019,CA-527,Tehama County CoC,65+,23
2019,CA-527,Tehama County CoC,Invalid,*
2019,CA-527,Tehama County CoC,Under 18,57
2019,CA-527,Tehama County CoC,Unknown,*
2019,CA-529,Lake County CoC,18-24,14
2019,CA-529,Lake County CoC,25-34,42
2019,CA-529,Lake County CoC,35-44,38
2019,CA-529,Lake County CoC,45-54,*
2019,CA-529,Lake County CoC,55-64,*
2019,CA-529,Lake County CoC,Under 18,121
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,13
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,29
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,20
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,21
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,23
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
2019,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,42
2019,CA-531,Nevada County CoC,18-24,50
2019,CA-531,Nevada County CoC,25-34,117
2019,CA-531,Nevada County CoC,35-44,115
2019,CA-531,Nevada County CoC,45-54,123
2019,CA-531,Nevada County CoC,55-64,134
2019,CA-531,Nevada County CoC,65+,50
2019,CA-531,Nevada County CoC,Invalid,*
2019,CA-531,Nevada County CoC,Under 18,29
2019,CA-531,Nevada County CoC,Unknown,*
2019,CA-600,Los Angeles County CoC,18-24,7929
2019,CA-600,Los Angeles County CoC,25-34,14443
2019,CA-600,Los Angeles County CoC,35-44,12838
2019,CA-600,Los Angeles County CoC,45-54,12555
2019,CA-600,Los Angeles County CoC,55-64,11589
2019,CA-600,Los Angeles County CoC,65+,4140
2019,CA-600,Los Angeles County CoC,Invalid,34
2019,CA-600,Los Angeles County CoC,Under 18,16599
2019,CA-600,Los Angeles County CoC,Unknown,5323
2019,CA-601,San Diego County CoC,18-24,978
2019,CA-601,San Diego County CoC,25-34,2479
2019,CA-601,San Diego County CoC,35-44,2430
2019,CA-601,San Diego County CoC,45-54,2709
2019,CA-601,San Diego County CoC,55-64,3048
2019,CA-601,San Diego County CoC,65+,1005
2019,CA-601,San Diego County CoC,Invalid,*
2019,CA-601,San Diego County CoC,Under 18,3192
2019,CA-601,San Diego County CoC,Unknown,358
2019,CA-602,Orange County CoC,18-24,674
2019,CA-602,Orange County CoC,25-34,1889
2019,CA-602,Orange County CoC,35-44,1874
2019,CA-602,Orange County CoC,45-54,1981
2019,CA-602,Orange County CoC,55-64,1792
2019,CA-602,Orange County CoC,65+,627
2019,CA-602,Orange County CoC,Invalid,*
2019,CA-602,Orange County CoC,Under 18,2852
2019,CA-602,Orange County CoC,Unknown,746
2019,CA-603,Santa Barbara County CoC,18-24,168
2019,CA-603,Santa Barbara County CoC,25-34,439
2019,CA-603,Santa Barbara County CoC,35-44,482
2019,CA-603,Santa Barbara County CoC,45-54,468
2019,CA-603,Santa Barbara County CoC,55-64,575
2019,CA-603,Santa Barbara County CoC,65+,231
2019,CA-603,Santa Barbara County CoC,Invalid,*
2019,CA-603,Santa Barbara County CoC,Under 18,430
2019,CA-603,Santa Barbara County CoC,Unknown,*
2019,CA-604,Kern County CoC,18-24,397
2019,CA-604,Kern County CoC,25-34,680
2019,CA-604,Kern County CoC,35-44,590
2019,CA-604,Kern County CoC,45-54,483
2019,CA-604,Kern County CoC,55-64,451
2019,CA-604,Kern County CoC,65+,140
2019,CA-604,Kern County CoC,Under 18,1957
2019,CA-604,Kern County CoC,Unknown,*
2019,CA-606,Long Beach CoC (Los Angeles County),18-24,260
2019,CA-606,Long Beach CoC (Los Angeles County),25-34,631
2019,CA-606,Long Beach CoC (Los Angeles County),35-44,584
2019,CA-606,Long Beach CoC (Los Angeles County),45-54,722
2019,CA-606,Long Beach CoC (Los Angeles County),55-64,809
2019,CA-606,Long Beach CoC (Los Angeles County),65+,328
2019,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
2019,CA-606,Long Beach CoC (Los Angeles County),Under 18,753
2019,CA-606,Long Beach CoC (Los Angeles County),Unknown,*
2019,CA-607,Pasadena CoC (Los Angeles County),18-24,149
2019,CA-607,Pasadena CoC (Los Angeles County),25-34,209
2019,CA-607,Pasadena CoC (Los Angeles County),35-44,215
2019,CA-607,Pasadena CoC (Los Angeles County),45-54,262
2019,CA-607,Pasadena CoC (Los Angeles County),55-64,315
2019,CA-607,Pasadena CoC (Los Angeles County),65+,165
2019,CA-607,Pasadena CoC (Los Angeles County),Under 18,257
2019,CA-607,Pasadena CoC (Los Angeles County),Unknown,41
2019,CA-608,Riverside County CoC,18-24,683
2019,CA-608,Riverside County CoC,25-34,1436
2019,CA-608,Riverside County CoC,35-44,1256
2019,CA-608,Riverside County CoC,45-54,1123
