CALENDAR_YEAR,LOCATION_ID,race_ethnicity,CNT
2019,CA-504,Hispanic/Latina/e/o,51
2019,CA-504,Native Hawaiian or Pacific Islander,32
2019,CA-504,two or more races,1988
2019,CA-504,White,1864
2019,CA-505,"American Indian, Alaska Native, or Indigenous",78
2019,CA-505,Asian or Asian American,112
2019,CA-505,"Black, African American or African",2771
2019,CA-505,Hispanic/Latina/e/o,95
2019,CA-505,Native Hawaiian or Pacific Islander,98
2019,CA-505,two or more races,3158
2019,CA-505,White,2055
2019,CA-506,"American Indian, Alaska Native, or Indigenous",29
2019,CA-506,Asian or Asian American,22
2019,CA-506,"Black, African American or African",169
2019,CA-506,Hispanic/Latina/e/o,41
2019,CA-506,Native Hawaiian or Pacific Islander,31
2019,CA-506,two or more races,3212
2019,CA-506,White,564
2019,CA-507,"American Indian, Alaska Native, or Indigenous",25
2019,CA-507,Asian or Asian American,27
2019,CA-507,"Black, African American or African",261
2019,CA-507,Hispanic/Latina/e/o,74
2019,CA-507,Native Hawaiian or Pacific Islander,NULL
2019,CA-507,two or more races,662
2019,CA-507,White,534
2019,CA-508,"American Indian, Alaska Native, or Indigenous",31
2019,CA-508,Asian or Asian American,NULL
2019,CA-508,"Black, African American or African",98
2019,CA-508,Hispanic/Latina/e/o,67
2019,CA-508,Native Hawaiian or Pacific Islander,19
2019,CA-508,two or more races,1899
2019,CA-508,White,1034
2019,CA-509,"American Indian, Alaska Native, or Indigenous",50
2019,CA-509,Asian or Asian American,NULL
2019,CA-509,"Black, African American or African",19
2019,CA-509,Hispanic/Latina/e/o,NULL
2019,CA-509,Native Hawaiian or Pacific Islander,11
2019,CA-509,two or more races,289
2019,CA-509,White,478
2019,CA-510,"American Indian, Alaska Native, or Indigenous",62
2019,CA-510,Asian or Asian American,76
2019,CA-510,"Black, African American or African",764
2019,CA-510,Hispanic/Latina/e/o,128
2019,CA-510,Native Hawaiian or Pacific Islander,40
2019,CA-510,two or more races,5882
2019,CA-510,White,2360
2019,CA-511,"American Indian, Alaska Native, or Indigenous",71
2019,CA-511,Asian or Asian American,189
2019,CA-511,"Black, African American or African",3100
2019,CA-511,Hispanic/Latina/e/o,214
2019,CA-511,Native Hawaiian or Pacific Islander,95
2019,CA-511,two or more races,7289
2019,CA-511,White,2303
2019,CA-512,"American Indian, Alaska Native, or Indigenous",38
2019,CA-512,Asian or Asian American,185
2019,CA-512,"Black, African American or African",741
2019,CA-512,Hispanic/Latina/e/o,57
2019,CA-512,Native Hawaiian or Pacific Islander,326
2019,CA-512,two or more races,3390
2019,CA-512,White,1335
2019,CA-513,"American Indian, Alaska Native, or Indigenous",59
2019,CA-513,Asian or Asian American,17
2019,CA-513,"Black, African American or African",359
2019,CA-513,Hispanic/Latina/e/o,104
2019,CA-513,Native Hawaiian or Pacific Islander,23
2019,CA-513,two or more races,3499
2019,CA-513,White,1135
2019,CA-514,"American Indian, Alaska Native, or Indigenous",53
2019,CA-514,Asian or Asian American,53
2019,CA-514,"Black, African American or African",608
2019,CA-514,Hispanic/Latina/e/o,41
2019,CA-514,Native Hawaiian or Pacific Islander,NULL
2019,CA-514,two or more races,2533
2019,CA-514,White,734
2019,CA-515,"American Indian, Alaska Native, or Indigenous",41
2019,CA-515,Asian or Asian American,18
2019,CA-515,"Black, African American or African",120
2019,CA-515,Hispanic/Latina/e/o,18
2019,CA-515,Native Hawaiian or Pacific Islander,NULL
2019,CA-515,two or more races,935
2019,CA-515,White,1011
2019,CA-516,"American Indian, Alaska Native, or Indigenous",26
2019,CA-516,Asian or Asian American,NULL
2019,CA-516,"Black, African American or African",41
2019,CA-516,Hispanic/Latina/e/o,NULL
2019,CA-516,Native Hawaiian or Pacific Islander,NULL
2019,CA-516,two or more races,252
2019,CA-516,White,482
2019,CA-517,"American Indian, Alaska Native, or Indigenous",18
2019,CA-517,Asian or Asian American,NULL
2019,CA-517,"Black, African American or African",53
2019,CA-517,Hispanic/Latina/e/o,NULL
2019,CA-517,Native Hawaiian or Pacific Islander,13
2019,CA-517,two or more races,608
2019,CA-517,White,520
2019,CA-518,"American Indian, Alaska Native, or Indigenous",11
2019,CA-518,Asian or Asian American,12
2019,CA-518,"Black, African American or African",425
2019,CA-518,Hispanic/Latina/e/o,NULL
2019,CA-518,Native Hawaiian or Pacific Islander,16
2019,CA-518,two or more races,576
2019,CA-518,White,345
2019,CA-519,"American Indian, Alaska Native, or Indigenous",59
2019,CA-519,Asian or Asian American,15
2019,CA-519,"Black, African American or African",119
2019,CA-519,Hispanic/Latina/e/o,NULL
2019,CA-519,Native Hawaiian or Pacific Islander,NULL
2019,CA-519,two or more races,612
2019,CA-519,White,1230
2019,CA-520,"American Indian, Alaska Native, or Indigenous",27
2019,CA-520,Asian or Asian American,55
2019,CA-520,"Black, African American or African",479
2019,CA-520,Hispanic/Latina/e/o,34
2019,CA-520,Native Hawaiian or Pacific Islander,NULL
2019,CA-520,two or more races,3498
2019,CA-520,White,756
2019,CA-521,"American Indian, Alaska Native, or Indigenous",18
2019,CA-521,Asian or Asian American,11
2019,CA-521,"Black, African American or African",253
2019,CA-521,Hispanic/Latina/e/o,11
2019,CA-521,Native Hawaiian or Pacific Islander,NULL
2019,CA-521,two or more races,822
2019,CA-521,White,450
2019,CA-522,"American Indian, Alaska Native, or Indigenous",80
2019,CA-522,Asian or Asian American,NULL
2019,CA-522,"Black, African American or African",62
2019,CA-522,Hispanic/Latina/e/o,11
2019,CA-522,Native Hawaiian or Pacific Islander,NULL
2019,CA-522,two or more races,479
2019,CA-522,White,938
2019,CA-523,"American Indian, Alaska Native, or Indigenous",14
2019,CA-523,Asian or Asian American,NULL
2019,CA-523,"Black, African American or African",NULL
2019,CA-523,Hispanic/Latina/e/o,NULL
2019,CA-523,Native Hawaiian or Pacific Islander,NULL
2019,CA-523,two or more races,275
2019,CA-523,White,199
2019,CA-524,"Black, African American or African",NULL
2019,CA-524,Hispanic/Latina/e/o,NULL
2019,CA-524,two or more races,NULL
2019,CA-524,White,18
2019,CA-525,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-525,Asian or Asian American,NULL
2019,CA-525,"Black, African American or African",18
2019,CA-525,Hispanic/Latina/e/o,NULL
2019,CA-525,Native Hawaiian or Pacific Islander,NULL
2019,CA-525,two or more races,127
2019,CA-525,White,260
2019,CA-526,"American Indian, Alaska Native, or Indigenous",15
2019,CA-526,Asian or Asian American,NULL
2019,CA-526,"Black, African American or African",28
2019,CA-526,Hispanic/Latina/e/o,NULL
2019,CA-526,Native Hawaiian or Pacific Islander,NULL
2019,CA-526,two or more races,317
2019,CA-526,White,458
2019,CA-527,"American Indian, Alaska Native, or Indigenous",19
2019,CA-527,Asian or Asian American,NULL
2019,CA-527,"Black, African American or African",11
2019,CA-527,Hispanic/Latina/e/o,NULL
2019,CA-527,Native Hawaiian or Pacific Islander,NULL
2019,CA-527,two or more races,124
2019,CA-527,White,268
2019,CA-529,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-529,Asian or Asian American,NULL
2019,CA-529,"Black, African American or African",NULL
2019,CA-529,Hispanic/Latina/e/o,NULL
2019,CA-529,Native Hawaiian or Pacific Islander,NULL
2019,CA-529,two or more races,132
2019,CA-529,White,154
2019,CA-530,"American Indian, Alaska Native, or Indigenous",13
2019,CA-530,Asian or Asian American,NULL
2019,CA-530,"Black, African American or African",NULL
2019,CA-530,Hispanic/Latina/e/o,NULL
2019,CA-530,Native Hawaiian or Pacific Islander,NULL
2019,CA-530,two or more races,78
2019,CA-530,White,93
2019,CA-531,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-531,Asian or Asian American,NULL
2019,CA-531,"Black, African American or African",NULL
2019,CA-531,Hispanic/Latina/e/o,NULL
2019,CA-531,Native Hawaiian or Pacific Islander,NULL
2019,CA-531,two or more races,166
2019,CA-531,White,488
2019,CA-600,"American Indian, Alaska Native, or Indigenous",483
2019,CA-600,Asian or Asian American,939
2019,CA-600,"Black, African American or African",33549
2019,CA-600,Hispanic/Latina/e/o,3260
2019,CA-600,Native Hawaiian or Pacific Islander,418
2019,CA-600,two or more races,53822
2019,CA-600,White,17147
2019,CA-601,"American Indian, Alaska Native, or Indigenous",164
2019,CA-601,Asian or Asian American,266
2019,CA-601,"Black, African American or African",4118
2019,CA-601,Hispanic/Latina/e/o,144
2019,CA-601,Native Hawaiian or Pacific Islander,148
2019,CA-601,two or more races,10503
2019,CA-601,White,5816
2019,CA-602,"American Indian, Alaska Native, or Indigenous",96
2019,CA-602,Asian or Asian American,311
2019,CA-602,"Black, African American or African",1548
2019,CA-602,Hispanic/Latina/e/o,171
2019,CA-602,Native Hawaiian or Pacific Islander,132
2019,CA-602,two or more races,10683
2019,CA-602,White,4838
2019,CA-603,"American Indian, Alaska Native, or Indigenous",51
2019,CA-603,Asian or Asian American,14
2019,CA-603,"Black, African American or African",208
2019,CA-603,Hispanic/Latina/e/o,42
2019,CA-603,Native Hawaiian or Pacific Islander,NULL
2019,CA-603,two or more races,2443
2019,CA-603,White,1225
2019,CA-604,"American Indian, Alaska Native, or Indigenous",36
2019,CA-604,Asian or Asian American,23
2019,CA-604,"Black, African American or African",1318
2019,CA-604,Hispanic/Latina/e/o,15
2019,CA-604,Native Hawaiian or Pacific Islander,28
2019,CA-604,two or more races,3653
2019,CA-604,White,1463
2019,CA-606,"American Indian, Alaska Native, or Indigenous",33
2019,CA-606,Asian or Asian American,67
2019,CA-606,"Black, African American or African",1853
2019,CA-606,Hispanic/Latina/e/o,51
2019,CA-606,Native Hawaiian or Pacific Islander,45
2019,CA-606,two or more races,2204
2019,CA-606,White,901
2019,CA-607,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-607,Asian or Asian American,31
2019,CA-607,"Black, African American or African",455
2019,CA-607,Hispanic/Latina/e/o,59
2019,CA-607,Native Hawaiian or Pacific Islander,NULL
2019,CA-607,two or more races,1251
2019,CA-607,White,393
2019,CA-608,"American Indian, Alaska Native, or Indigenous",89
2019,CA-608,Asian or Asian American,63
2019,CA-608,"Black, African American or African",1859
2019,CA-608,Hispanic/Latina/e/o,92
2019,CA-608,Native Hawaiian or Pacific Islander,58
2019,CA-608,two or more races,6240
2019,CA-608,White,2667
2019,CA-609,"American Indian, Alaska Native, or Indigenous",71
2019,CA-609,Asian or Asian American,49
2019,CA-609,"Black, African American or African",2991
2019,CA-609,Hispanic/Latina/e/o,71
2019,CA-609,Native Hawaiian or Pacific Islander,47
2019,CA-609,two or more races,5634
2019,CA-609,White,1677
2019,CA-611,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-611,Asian or Asian American,11
2019,CA-611,"Black, African American or African",139
2019,CA-611,Hispanic/Latina/e/o,29
2019,CA-611,Native Hawaiian or Pacific Islander,NULL
2019,CA-611,two or more races,2309
2019,CA-611,White,693
2019,CA-612,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-612,Asian or Asian American,NULL
2019,CA-612,"Black, African American or African",138
2019,CA-612,Hispanic/Latina/e/o,NULL
2019,CA-612,Native Hawaiian or Pacific Islander,NULL
2019,CA-612,two or more races,406
2019,CA-612,White,115
2019,CA-613,"American Indian, Alaska Native, or Indigenous",NULL
2019,CA-613,Asian or Asian American,NULL
2019,CA-613,"Black, African American or African",32
2019,CA-613,Hispanic/Latina/e/o,11
2019,CA-613,two or more races,1375
2019,CA-613,White,55
2019,CA-614,"American Indian, Alaska Native, or Indigenous",36
2019,CA-614,Asian or Asian American,12
2019,CA-614,"Black, African American or African",102
2019,CA-614,Hispanic/Latina/e/o,108
2019,CA-614,Native Hawaiian or Pacific Islander,11
2019,CA-614,two or more races,1217
2019,CA-614,White,1141
2020,All,"American Indian, Alaska Native, or Indigenous",2735
2020,All,Asian or Asian American,4209
2020,All,"Black, African American or African",69246
2020,All,Hispanic/Latina/e/o,8405
2020,All,Native Hawaiian or Pacific Islander,2257
2020,All,two or more races,173517
2020,All,White,71441
2020,CA-500,"American Indian, Alaska Native, or Indigenous",143
2020,CA-500,Asian or Asian American,563
2020,CA-500,"Black, African American or African",1444
2020,CA-500,Hispanic/Latina/e/o,839
2020,CA-500,Native Hawaiian or Pacific Islander,170
2020,CA-500,two or more races,11899
2020,CA-500,White,2549
2020,CA-501,"American Indian, Alaska Native, or Indigenous",187
2020,CA-501,Asian or Asian American,400
2020,CA-501,"Black, African American or African",4464
2020,CA-501,Hispanic/Latina/e/o,707
2020,CA-501,Native Hawaiian or Pacific Islander,222
2020,CA-501,two or more races,5886
2020,CA-501,White,2459
2020,CA-502,"American Indian, Alaska Native, or Indigenous",110
2020,CA-502,Asian or Asian American,249
2020,CA-502,"Black, African American or African",4551
2020,CA-502,Hispanic/Latina/e/o,85
2020,CA-502,Native Hawaiian or Pacific Islander,117
2020,CA-502,two or more races,4666
2020,CA-502,White,1652
2020,CA-503,"American Indian, Alaska Native, or Indigenous",126
2020,CA-503,Asian or Asian American,122
2020,CA-503,"Black, African American or African",4170
2020,CA-503,Hispanic/Latina/e/o,109
2020,CA-503,Native Hawaiian or Pacific Islander,120
2020,CA-503,two or more races,5134
2020,CA-503,White,3074
2020,CA-504,"American Indian, Alaska Native, or Indigenous",95
2020,CA-504,Asian or Asian American,28
2020,CA-504,"Black, African American or African",234
2020,CA-504,Hispanic/Latina/e/o,58
2020,CA-504,Native Hawaiian or Pacific Islander,33
2020,CA-504,two or more races,1766
2020,CA-504,White,1686
2020,CA-505,"American Indian, Alaska Native, or Indigenous",72
2020,CA-505,Asian or Asian American,91
2020,CA-505,"Black, African American or African",2310
2020,CA-505,Hispanic/Latina/e/o,76
2020,CA-505,Native Hawaiian or Pacific Islander,84
2020,CA-505,two or more races,3133
2020,CA-505,White,1998
2020,CA-506,"American Indian, Alaska Native, or Indigenous",31
2020,CA-506,Asian or Asian American,31
2020,CA-506,"Black, African American or African",138
2020,CA-506,Hispanic/Latina/e/o,53
2020,CA-506,Native Hawaiian or Pacific Islander,30
2020,CA-506,two or more races,2766
2020,CA-506,White,534
2020,CA-507,"American Indian, Alaska Native, or Indigenous",16
2020,CA-507,Asian or Asian American,22
2020,CA-507,"Black, African American or African",235
2020,CA-507,Hispanic/Latina/e/o,56
2020,CA-507,Native Hawaiian or Pacific Islander,NULL
2020,CA-507,two or more races,611
2020,CA-507,White,483
2020,CA-508,"American Indian, Alaska Native, or Indigenous",37
2020,CA-508,Asian or Asian American,12
2020,CA-508,"Black, African American or African",102
2020,CA-508,Hispanic/Latina/e/o,202
2020,CA-508,Native Hawaiian or Pacific Islander,17
2020,CA-508,two or more races,1905
2020,CA-508,White,1070
2020,CA-509,"American Indian, Alaska Native, or Indigenous",99
2020,CA-509,Asian or Asian American,NULL
2020,CA-509,"Black, African American or African",24
2020,CA-509,Hispanic/Latina/e/o,12
2020,CA-509,Native Hawaiian or Pacific Islander,NULL
2020,CA-509,two or more races,439
2020,CA-509,White,613
2020,CA-510,"American Indian, Alaska Native, or Indigenous",44
2020,CA-510,Asian or Asian American,65
2020,CA-510,"Black, African American or African",559
2020,CA-510,Hispanic/Latina/e/o,95
2020,CA-510,Native Hawaiian or Pacific Islander,36
2020,CA-510,two or more races,4411
2020,CA-510,White,1916
2020,CA-511,"American Indian, Alaska Native, or Indigenous",62
2020,CA-511,Asian or Asian American,122
2020,CA-511,"Black, African American or African",2169
2020,CA-511,Hispanic/Latina/e/o,187
2020,CA-511,Native Hawaiian or Pacific Islander,71
2020,CA-511,two or more races,5121
2020,CA-511,White,1609
2020,CA-512,"American Indian, Alaska Native, or Indigenous",34
2020,CA-512,Asian or Asian American,193
2020,CA-512,"Black, African American or African",747
2020,CA-512,Hispanic/Latina/e/o,55
2020,CA-512,Native Hawaiian or Pacific Islander,328
2020,CA-512,two or more races,3123
2020,CA-512,White,1353
2020,CA-513,"American Indian, Alaska Native, or Indigenous",44
2020,CA-513,Asian or Asian American,21
2020,CA-513,"Black, African American or African",309
2020,CA-513,Hispanic/Latina/e/o,41
2020,CA-513,Native Hawaiian or Pacific Islander,19
2020,CA-513,two or more races,3589
2020,CA-513,White,1068
2020,CA-514,"American Indian, Alaska Native, or Indigenous",118
2020,CA-514,Asian or Asian American,52
2020,CA-514,"Black, African American or African",875
2020,CA-514,Hispanic/Latina/e/o,106
2020,CA-514,Native Hawaiian or Pacific Islander,19
2020,CA-514,two or more races,4456
2020,CA-514,White,1164
2020,CA-515,"American Indian, Alaska Native, or Indigenous",41
2020,CA-515,Asian or Asian American,30
2020,CA-515,"Black, African American or African",132
2020,CA-515,Hispanic/Latina/e/o,25
2020,CA-515,Native Hawaiian or Pacific Islander,NULL
2020,CA-515,two or more races,940
2020,CA-515,White,1026
2020,CA-516,"American Indian, Alaska Native, or Indigenous",40
2020,CA-516,Asian or Asian American,NULL
2020,CA-516,"Black, African American or African",52
2020,CA-516,Hispanic/Latina/e/o,15
2020,CA-516,Native Hawaiian or Pacific Islander,11
2020,CA-516,two or more races,495
2020,CA-516,White,885
2020,CA-517,"American Indian, Alaska Native, or Indigenous",20
2020,CA-517,Asian or Asian American,21
2020,CA-517,"Black, African American or African",59
2020,CA-517,Hispanic/Latina/e/o,225
2020,CA-517,Native Hawaiian or Pacific Islander,12
2020,CA-517,two or more races,884
2020,CA-517,White,551
2020,CA-518,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-518,Asian or Asian American,27
2020,CA-518,"Black, African American or African",483
2020,CA-518,Hispanic/Latina/e/o,11
2020,CA-518,Native Hawaiian or Pacific Islander,19
2020,CA-518,two or more races,597
2020,CA-518,White,415
2020,CA-519,"American Indian, Alaska Native, or Indigenous",50
2020,CA-519,Asian or Asian American,13
2020,CA-519,"Black, African American or African",129
2020,CA-519,Hispanic/Latina/e/o,NULL
2020,CA-519,Native Hawaiian or Pacific Islander,NULL
2020,CA-519,two or more races,781
2020,CA-519,White,1233
2020,CA-520,"American Indian, Alaska Native, or Indigenous",26
2020,CA-520,Asian or Asian American,52
2020,CA-520,"Black, African American or African",361
2020,CA-520,Hispanic/Latina/e/o,39
2020,CA-520,Native Hawaiian or Pacific Islander,17
2020,CA-520,two or more races,3059
2020,CA-520,White,640
2020,CA-521,"American Indian, Alaska Native, or Indigenous",20
2020,CA-521,Asian or Asian American,11
2020,CA-521,"Black, African American or African",273
2020,CA-521,Hispanic/Latina/e/o,30
2020,CA-521,Native Hawaiian or Pacific Islander,NULL
2020,CA-521,two or more races,1029
2020,CA-521,White,656
2020,CA-522,"American Indian, Alaska Native, or Indigenous",112
2020,CA-522,Asian or Asian American,12
2020,CA-522,"Black, African American or African",41
2020,CA-522,Hispanic/Latina/e/o,NULL
2020,CA-522,Native Hawaiian or Pacific Islander,NULL
2020,CA-522,two or more races,423
2020,CA-522,White,881
2020,CA-523,"American Indian, Alaska Native, or Indigenous",16
2020,CA-523,Asian or Asian American,NULL
2020,CA-523,"Black, African American or African",NULL
2020,CA-523,Hispanic/Latina/e/o,11
2020,CA-523,Native Hawaiian or Pacific Islander,NULL
2020,CA-523,two or more races,319
2020,CA-523,White,302
2020,CA-524,"American Indian, Alaska Native, or Indigenous",18
2020,CA-524,Asian or Asian American,NULL
2020,CA-524,"Black, African American or African",64
2020,CA-524,Hispanic/Latina/e/o,116
2020,CA-524,Native Hawaiian or Pacific Islander,NULL
2020,CA-524,two or more races,158
2020,CA-524,White,391
2020,CA-525,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-525,Asian or Asian American,NULL
2020,CA-525,"Black, African American or African",20
2020,CA-525,Hispanic/Latina/e/o,NULL
2020,CA-525,Native Hawaiian or Pacific Islander,NULL
2020,CA-525,two or more races,116
2020,CA-525,White,334
2020,CA-526,"American Indian, Alaska Native, or Indigenous",17
2020,CA-526,Asian or Asian American,NULL
2020,CA-526,"Black, African American or African",33
2020,CA-526,Hispanic/Latina/e/o,NULL
2020,CA-526,Native Hawaiian or Pacific Islander,NULL
2020,CA-526,two or more races,307
2020,CA-526,White,509
2020,CA-527,"American Indian, Alaska Native, or Indigenous",15
2020,CA-527,Asian or Asian American,NULL
2020,CA-527,"Black, African American or African",16
2020,CA-527,Hispanic/Latina/e/o,NULL
2020,CA-527,Native Hawaiian or Pacific Islander,NULL
2020,CA-527,two or more races,107
2020,CA-527,White,346
2020,CA-529,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-529,Asian or Asian American,NULL
2020,CA-529,"Black, African American or African",NULL
2020,CA-529,Hispanic/Latina/e/o,NULL
2020,CA-529,Native Hawaiian or Pacific Islander,NULL
2020,CA-529,two or more races,52
2020,CA-529,White,132
2020,CA-530,"American Indian, Alaska Native, or Indigenous",17
2020,CA-530,Asian or Asian American,NULL
2020,CA-530,"Black, African American or African",NULL
2020,CA-530,Hispanic/Latina/e/o,NULL
2020,CA-530,Native Hawaiian or Pacific Islander,NULL
2020,CA-530,two or more races,90
2020,CA-530,White,111
2020,CA-531,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-531,Asian or Asian American,NULL
2020,CA-531,"Black, African American or African",12
2020,CA-531,Hispanic/Latina/e/o,NULL
2020,CA-531,Native Hawaiian or Pacific Islander,NULL
2020,CA-531,two or more races,158
2020,CA-531,White,422
2020,CA-600,"American Indian, Alaska Native, or Indigenous",554
2020,CA-600,Asian or Asian American,1061
2020,CA-600,"Black, African American or African",31961
2020,CA-600,Hispanic/Latina/e/o,4060
2020,CA-600,Native Hawaiian or Pacific Islander,405
2020,CA-600,two or more races,56056
2020,CA-600,White,18105
2020,CA-601,"American Indian, Alaska Native, or Indigenous",226
2020,CA-601,Asian or Asian American,423
2020,CA-601,"Black, African American or African",4552
2020,CA-601,Hispanic/Latina/e/o,497
2020,CA-601,Native Hawaiian or Pacific Islander,192
2020,CA-601,two or more races,12592
2020,CA-601,White,7316
2020,CA-602,"American Indian, Alaska Native, or Indigenous",96
2020,CA-602,Asian or Asian American,326
2020,CA-602,"Black, African American or African",1346
2020,CA-602,Hispanic/Latina/e/o,211
2020,CA-602,Native Hawaiian or Pacific Islander,119
2020,CA-602,two or more races,11052
2020,CA-602,White,4645
2020,CA-603,"American Indian, Alaska Native, or Indigenous",54
2020,CA-603,Asian or Asian American,13
2020,CA-603,"Black, African American or African",175
2020,CA-603,Hispanic/Latina/e/o,84
2020,CA-603,Native Hawaiian or Pacific Islander,15
2020,CA-603,two or more races,2748
2020,CA-603,White,1168
2020,CA-604,"American Indian, Alaska Native, or Indigenous",43
2020,CA-604,Asian or Asian American,32
2020,CA-604,"Black, African American or African",1334
2020,CA-604,Hispanic/Latina/e/o,19
2020,CA-604,Native Hawaiian or Pacific Islander,26
2020,CA-604,two or more races,4195
2020,CA-604,White,1707
2020,CA-606,"American Indian, Alaska Native, or Indigenous",34
2020,CA-606,Asian or Asian American,93
2020,CA-606,"Black, African American or African",1746
2020,CA-606,Hispanic/Latina/e/o,51
2020,CA-606,Native Hawaiian or Pacific Islander,43
2020,CA-606,two or more races,2358
2020,CA-606,White,976
2020,CA-607,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-607,Asian or Asian American,32
2020,CA-607,"Black, African American or African",470
2020,CA-607,Hispanic/Latina/e/o,46
2020,CA-607,Native Hawaiian or Pacific Islander,NULL
2020,CA-607,two or more races,957
2020,CA-607,White,324
2020,CA-608,"American Indian, Alaska Native, or Indigenous",93
2020,CA-608,Asian or Asian American,74
2020,CA-608,"Black, African American or African",2168
2020,CA-608,Hispanic/Latina/e/o,91
2020,CA-608,Native Hawaiian or Pacific Islander,64
2020,CA-608,two or more races,7036
2020,CA-608,White,3059
2020,CA-609,"American Indian, Alaska Native, or Indigenous",62
2020,CA-609,Asian or Asian American,60
2020,CA-609,"Black, African American or African",3359
2020,CA-609,Hispanic/Latina/e/o,126
2020,CA-609,Native Hawaiian or Pacific Islander,47
2020,CA-609,two or more races,6572
2020,CA-609,White,1975
2020,CA-611,"American Indian, Alaska Native, or Indigenous",13
2020,CA-611,Asian or Asian American,14
2020,CA-611,"Black, African American or African",137
2020,CA-611,Hispanic/Latina/e/o,30
2020,CA-611,Native Hawaiian or Pacific Islander,NULL
2020,CA-611,two or more races,2167
2020,CA-611,White,955
2020,CA-612,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-612,Asian or Asian American,12
2020,CA-612,"Black, African American or African",167
2020,CA-612,Hispanic/Latina/e/o,NULL
2020,CA-612,Native Hawaiian or Pacific Islander,NULL
2020,CA-612,two or more races,496
2020,CA-612,White,144
2020,CA-613,"American Indian, Alaska Native, or Indigenous",NULL
2020,CA-613,Asian or Asian American,NULL
2020,CA-613,"Black, African American or African",45
2020,CA-613,Hispanic/Latina/e/o,32
2020,CA-613,Native Hawaiian or Pacific Islander,NULL
2020,CA-613,two or more races,1418
2020,CA-613,White,117
2020,CA-614,"American Indian, Alaska Native, or Indigenous",29
2020,CA-614,Asian or Asian American,NULL
2020,CA-614,"Black, African American or African",77
2020,CA-614,Hispanic/Latina/e/o,134
2020,CA-614,Native Hawaiian or Pacific Islander,NULL
2020,CA-614,two or more races,981
2020,CA-614,White,896
2021,All,"American Indian, Alaska Native, or Indigenous",3047
2021,All,Asian or Asian American,4635
2021,All,"Black, African American or African",69338
2021,All,Hispanic/Latina/e/o,9740
2021,All,Native Hawaiian or Pacific Islander,2416
2021,All,two or more races,186502
2021,All,White,75293
2021,CA-500,"American Indian, Alaska Native, or Indigenous",163
2021,CA-500,Asian or Asian American,734
2021,CA-500,"Black, African American or African",1576
2021,CA-500,Hispanic/Latina/e/o,953
2021,CA-500,Native Hawaiian or Pacific Islander,210
2021,CA-500,two or more races,13139
2021,CA-500,White,2604
2021,CA-501,"American Indian, Alaska Native, or Indigenous",241
2021,CA-501,Asian or Asian American,483
2021,CA-501,"Black, African American or African",5185
2021,CA-501,Hispanic/Latina/e/o,947
2021,CA-501,Native Hawaiian or Pacific Islander,313
2021,CA-501,two or more races,7230
2021,CA-501,White,3040
2021,CA-502,"American Indian, Alaska Native, or Indigenous",102
2021,CA-502,Asian or Asian American,259
2021,CA-502,"Black, African American or African",5150
2021,CA-502,Hispanic/Latina/e/o,98
2021,CA-502,Native Hawaiian or Pacific Islander,150
2021,CA-502,two or more races,4851
2021,CA-502,White,1810
2021,CA-503,"American Indian, Alaska Native, or Indigenous",165
2021,CA-503,Asian or Asian American,169
2021,CA-503,"Black, African American or African",4119
2021,CA-503,Hispanic/Latina/e/o,170
2021,CA-503,Native Hawaiian or Pacific Islander,137
2021,CA-503,two or more races,5248
2021,CA-503,White,3172
2021,CA-504,"American Indian, Alaska Native, or Indigenous",93
2021,CA-504,Asian or Asian American,23
2021,CA-504,"Black, African American or African",200
2021,CA-504,Hispanic/Latina/e/o,53
2021,CA-504,Native Hawaiian or Pacific Islander,23
2021,CA-504,two or more races,1606
2021,CA-504,White,1429
2021,CA-505,"American Indian, Alaska Native, or Indigenous",67
2021,CA-505,Asian or Asian American,78
2021,CA-505,"Black, African American or African",2181
2021,CA-505,Hispanic/Latina/e/o,49
2021,CA-505,Native Hawaiian or Pacific Islander,67
2021,CA-505,two or more races,3067
2021,CA-505,White,1919
2021,CA-506,"American Indian, Alaska Native, or Indigenous",24
2021,CA-506,Asian or Asian American,22
2021,CA-506,"Black, African American or African",156
2021,CA-506,Hispanic/Latina/e/o,81
2021,CA-506,Native Hawaiian or Pacific Islander,14
2021,CA-506,two or more races,3013
2021,CA-506,White,626
2021,CA-507,"American Indian, Alaska Native, or Indigenous",20
2021,CA-507,Asian or Asian American,28
2021,CA-507,"Black, African American or African",364
2021,CA-507,Hispanic/Latina/e/o,60
2021,CA-507,Native Hawaiian or Pacific Islander,NULL
2021,CA-507,two or more races,739
2021,CA-507,White,812
2021,CA-508,"American Indian, Alaska Native, or Indigenous",40
2021,CA-508,Asian or Asian American,14
2021,CA-508,"Black, African American or African",114
2021,CA-508,Hispanic/Latina/e/o,160
